"","Day","Province","Death","Cases"
"324",60,"Kalimantan.Selatan",0,0
"325",61,"Bali",0,0
"326",61,"Jakarta",5.71,5.71
"327",61,"Jawa.Barat",1.86,1.86
"328",61,"Jawa.Tengah",0.57,0.57
"329",61,"Jawa.Timur",4.14,4.14
"330",61,"Kalimantan.Selatan",0,0
"331",62,"Bali",0,0
"332",62,"Jakarta",6.86,6.86
"333",62,"Jawa.Barat",1.29,1.29
"334",62,"Jawa.Tengah",0.57,0.57
"335",62,"Jawa.Timur",5.29,5.29
"336",62,"Kalimantan.Selatan",0,0
"337",63,"Bali",0,0
"338",63,"Jakarta",6.43,6.43
"339",63,"Jawa.Barat",1.57,1.57
"340",63,"Jawa.Tengah",0.43,0.43
"341",63,"Jawa.Timur",5.57,5.57
"342",63,"Kalimantan.Selatan",0,0
"343",64,"Bali",0,0
"344",64,"Jakarta",4.43,4.43
"345",64,"Jawa.Barat",1.86,1.86
"346",64,"Jawa.Tengah",0.71,0.71
"347",64,"Jawa.Timur",5,5
"348",64,"Kalimantan.Selatan",0,0
"349",65,"Bali",0,0
"350",65,"Jakarta",4.57,4.57
"351",65,"Jawa.Barat",1.71,1.71
"352",65,"Jawa.Tengah",0.71,0.71
"353",65,"Jawa.Timur",4.57,4.57
"354",65,"Kalimantan.Selatan",0,0
"355",66,"Bali",0,0
"356",66,"Jakarta",4.29,4.29
"357",66,"Jawa.Barat",1.71,1.71
"358",66,"Jawa.Tengah",0.71,0.71
"359",66,"Jawa.Timur",4.57,4.57
"360",66,"Kalimantan.Selatan",0,0
"361",67,"Bali",0,0
"362",67,"Jakarta",4.43,4.43
"363",67,"Jawa.Barat",1.57,1.57
"364",67,"Jawa.Tengah",0.86,0.86
"365",67,"Jawa.Timur",5.43,5.43
"366",67,"Kalimantan.Selatan",0,0
"367",68,"Bali",0,0
"368",68,"Jakarta",4.57,4.57
"369",68,"Jawa.Barat",1.14,1.14
"370",68,"Jawa.Tengah",0.71,0.71
"371",68,"Jawa.Timur",5.71,5.71
"372",68,"Kalimantan.Selatan",0,0
"373",69,"Bali",0,0
"374",69,"Jakarta",3.71,3.71
"375",69,"Jawa.Barat",1.29,1.29
"376",69,"Jawa.Tengah",0.57,0.57
"377",69,"Jawa.Timur",4.86,4.86
"378",69,"Kalimantan.Selatan",0,0
"379",70,"Bali",0,0
"380",70,"Jakarta",4.57,4.57
"381",70,"Jawa.Barat",1.14,1.14
"382",70,"Jawa.Tengah",0.57,0.57
"383",70,"Jawa.Timur",5.71,5.71
"384",70,"Kalimantan.Selatan",3.86,3.86
"385",71,"Bali",0,0
"386",71,"Jakarta",4.14,4.14
"387",71,"Jawa.Barat",0.71,0.71
"388",71,"Jawa.Tengah",0.29,0.29
"389",71,"Jawa.Timur",6,6
"390",71,"Kalimantan.Selatan",3.86,3.86
"391",72,"Bali",0,0
"392",72,"Jakarta",3.71,3.71
"393",72,"Jawa.Barat",2.14,2.14
"394",72,"Jawa.Tengah",0.14,0.14
"395",72,"Jawa.Timur",7.29,7.29
"396",72,"Kalimantan.Selatan",5,5
"397",73,"Bali",0,0
"398",73,"Jakarta",2.86,2.86
"399",73,"Jawa.Barat",3.71,3.71
"400",73,"Jawa.Tengah",0.14,0.14
"401",73,"Jawa.Timur",8.57,8.57
"402",73,"Kalimantan.Selatan",5.29,5.29
"403",74,"Bali",0,0
"404",74,"Jakarta",3.57,3.57
"405",74,"Jawa.Barat",3.86,3.86
"406",74,"Jawa.Tengah",0,0
"407",74,"Jawa.Timur",9.57,9.57
"408",74,"Kalimantan.Selatan",6,6
"409",75,"Bali",0,0
"410",75,"Jakarta",2.86,2.86
"411",75,"Jawa.Barat",3.86,3.86
"412",75,"Jawa.Tengah",0,0
"413",75,"Jawa.Timur",9.29,9.29
"414",75,"Kalimantan.Selatan",6.57,6.57
"415",76,"Bali",0,0
"416",76,"Jakarta",3.71,3.71
"417",76,"Jawa.Barat",3.71,3.71
"418",76,"Jawa.Tengah",0,0
"419",76,"Jawa.Timur",10.57,10.57
"420",76,"Kalimantan.Selatan",7.14,7.14
"421",77,"Bali",0,0
"422",77,"Jakarta",6.86,6.86
"423",77,"Jawa.Barat",3.86,3.86
"424",77,"Jawa.Tengah",0,0
"425",77,"Jawa.Timur",11,11
"426",77,"Kalimantan.Selatan",3.43,3.43
"427",78,"Bali",0,0
"428",78,"Jakarta",7,7
"429",78,"Jawa.Barat",4.14,4.14
"430",78,"Jawa.Tengah",0,0
"431",78,"Jawa.Timur",12.29,12.29
"432",78,"Kalimantan.Selatan",3.71,3.71
"433",79,"Bali",0,0
"434",79,"Jakarta",6.57,6.57
"435",79,"Jawa.Barat",2.86,2.86
"436",79,"Jawa.Tengah",0,0
"437",79,"Jawa.Timur",12.43,12.43
"438",79,"Kalimantan.Selatan",2.86,2.86
"439",80,"Bali",0,0
"440",80,"Jakarta",6.57,6.57
"441",80,"Jawa.Barat",0.86,0.86
"442",80,"Jawa.Tengah",0,0
"443",80,"Jawa.Timur",11.57,11.57
"444",80,"Kalimantan.Selatan",2.86,2.86
"445",81,"Bali",0,0
"446",81,"Jakarta",5.57,5.57
"447",81,"Jawa.Barat",2,2
"448",81,"Jawa.Tengah",0,0
"449",81,"Jawa.Timur",11,11
"450",81,"Kalimantan.Selatan",3.29,3.29
"451",82,"Bali",0,0
"452",82,"Jakarta",6.57,6.57
"453",82,"Jawa.Barat",2.71,2.71
"454",82,"Jawa.Tengah",0,0
"455",82,"Jawa.Timur",12.86,12.86
"456",82,"Kalimantan.Selatan",2.71,2.71
"457",83,"Bali",0,0
"458",83,"Jakarta",5.43,5.43
"459",83,"Jawa.Barat",2.71,2.71
"460",83,"Jawa.Tengah",0,0
"461",83,"Jawa.Timur",13,13
"462",83,"Kalimantan.Selatan",2.29,2.29
"463",84,"Bali",0,0
"464",84,"Jakarta",1.29,1.29
"465",84,"Jawa.Barat",2.57,2.57
"466",84,"Jawa.Tengah",0,0
"467",84,"Jawa.Timur",12.57,12.57
"468",84,"Kalimantan.Selatan",2.86,2.86
"469",85,"Bali",0,0
"470",85,"Jakarta",2.14,2.14
"471",85,"Jawa.Barat",2.57,2.57
"472",85,"Jawa.Tengah",0,0
"473",85,"Jawa.Timur",14.43,14.43
"474",85,"Kalimantan.Selatan",2.57,2.57
"475",86,"Bali",0,0
"476",86,"Jakarta",2.29,2.29
"477",86,"Jawa.Barat",2.43,2.43
"478",86,"Jawa.Tengah",0,0
"479",86,"Jawa.Timur",16.14,16.14
"480",86,"Kalimantan.Selatan",3.14,3.14
"481",87,"Bali",0.14,0.14
"482",87,"Jakarta",2.57,2.57
"483",87,"Jawa.Barat",2.43,2.43
"484",87,"Jawa.Tengah",0.14,0.14
"485",87,"Jawa.Timur",17.14,17.14
"486",87,"Kalimantan.Selatan",3,3
"487",88,"Bali",0.14,0.14
"488",88,"Jakarta",2.57,2.57
"489",88,"Jawa.Barat",2.14,2.14
"490",88,"Jawa.Tengah",0.14,0.14
"491",88,"Jawa.Timur",16.71,16.71
"492",88,"Kalimantan.Selatan",2.29,2.29
"493",89,"Bali",0.14,0.14
"494",89,"Jakarta",2.14,2.14
"495",89,"Jawa.Barat",1.86,1.86
"496",89,"Jawa.Tengah",0.29,0.29
"497",89,"Jawa.Timur",15.57,15.57
"498",89,"Kalimantan.Selatan",2.71,2.71
"499",90,"Bali",0.14,0.14
"500",90,"Jakarta",2.14,2.14
"501",90,"Jawa.Barat",2,2
"502",90,"Jawa.Tengah",0.29,0.29
"503",90,"Jawa.Timur",14.71,14.71
"504",90,"Kalimantan.Selatan",2.57,2.57
"505",91,"Bali",0.14,0.14
"506",91,"Jakarta",2.29,2.29
"507",91,"Jawa.Barat",2.29,2.29
"508",91,"Jawa.Tengah",1.14,1.14
"509",91,"Jawa.Timur",14.57,14.57
"510",91,"Kalimantan.Selatan",2.14,2.14
"511",92,"Bali",0.14,0.14
"512",92,"Jakarta",1.29,1.29
"513",92,"Jawa.Barat",2,2
"514",92,"Jawa.Tengah",1.14,1.14
"515",92,"Jawa.Timur",13.14,13.14
"516",92,"Kalimantan.Selatan",2.43,2.43
"517",93,"Bali",0.14,0.14
"518",93,"Jakarta",1.71,1.71
"519",93,"Jawa.Barat",2,2
